# STATION: CLN
# STATION NAME: ALTA - COLLINS
# LATITUDE: 40.5763
# LONGITUDE: -111.6383
# ELEVATION [ft]: 9662.0
# STATE: UT
Station_ID,Date_Time,air_temp_set_1,snow_depth_set_1,precip_accum_one_hour_set_1,snow_interval_set_1
,,Fahrenheit,Inches,Inches,Inches
CLN,01/01/2023 00:00 MST,27.0,101.0,0.15,5.0
CLN,01/01/2023 01:00 MST,26.0,104.0,0.15,6.0
CLN,01/01/2023 02:00 MST,26.0,105.0,0.16,8.0
CLN,01/01/2023 03:00 MST,27.0,106.0,0.11,9.0
CLN,01/01/2023 04:00 MST,27.0,107.0,0.09,10.0
CLN,01/01/2023 05:00 MST,27.0,107.0,0.12,11.0
CLN,01/01/2023 06:00 MST,27.0,108.0,0.09,11.0
CLN,01/01/2023 07:00 MST,26.0,109.0,0.08,1.0
CLN,01/01/2023 08:00 MST,26.0,110.0,0.09,2.0
CLN,01/01/2023 09:00 MST,26.0,110.0,0.07,4.0
CLN,01/01/2023 10:00 MST,27.0,110.0,0.02,5.0
CLN,01/01/2023 11:00 MST,28.0,111.0,0.0,6.0
CLN,01/01/2023 12:00 MST,28.0,112.0,0.01,7.0
CLN,01/01/2023 13:00 MST,29.0,114.0,0.04,8.0
CLN,01/01/2023 14:00 MST,29.0,114.0,0.02,9.0
CLN,01/01/2023 15:00 MST,29.0,115.0,0.02,9.0
CLN,01/01/2023 16:00 MST,29.0,114.0,0.04,9.0
CLN,01/01/2023 17:00 MST,28.0,115.0,0.04,0.0
CLN,01/01/2023 18:00 MST,27.0,115.0,0.05,1.0
CLN,01/01/2023 19:00 MST,26.0,116.0,0.06,2.0
CLN,01/01/2023 20:00 MST,25.0,116.0,0.08,4.0
CLN,01/01/2023 21:00 MST,24.0,117.0,0.05,4.0
CLN,01/01/2023 22:00 MST,23.0,118.0,0.01,5.0
CLN,01/01/2023 23:00 MST,23.0,118.0,0.01,5.0
CLN,01/02/2023 00:00 MST,23.0,118.0,0.0,5.0
CLN,01/02/2023 01:00 MST,23.0,118.0,0.0,5.0
CLN,01/02/2023 02:00 MST,23.0,118.0,0.0,5.0
CLN,01/02/2023 03:00 MST,22.0,117.0,0.02,5.0
CLN,01/02/2023 04:00 MST,21.0,117.0,0.0,5.0
CLN,01/02/2023 05:00 MST,20.0,117.0,0.01,5.0
CLN,01/02/2023 06:00 MST,19.0,117.0,0.0,5.0
CLN,01/02/2023 07:00 MST,19.0,117.0,0.0,5.0
CLN,01/02/2023 08:00 MST,18.0,116.0,0.0,5.0
CLN,01/02/2023 09:00 MST,18.0,116.0,0.01,0.0
CLN,01/02/2023 10:00 MST,18.0,116.0,0.0,0.0
CLN,01/02/2023 11:00 MST,18.0,116.0,0.0,0.0
CLN,01/02/2023 12:00 MST,18.0,116.0,0.01,0.0
CLN,01/02/2023 13:00 MST,18.0,116.0,0.0,0.0
CLN,01/02/2023 14:00 MST,18.0,115.0,0.0,0.0
CLN,01/02/2023 15:00 MST,18.0,115.0,0.0,0.0
CLN,01/02/2023 16:00 MST,16.0,115.0,0.0,0.0
CLN,01/02/2023 17:00 MST,15.0,115.0,0.0,0.0
CLN,01/02/2023 18:00 MST,15.0,114.0,0.0,0.0
CLN,01/02/2023 19:00 MST,14.0,114.0,0.0,0.0
CLN,01/02/2023 20:00 MST,13.0,114.0,0.0,0.0
CLN,01/02/2023 21:00 MST,13.0,114.0,0.0,0.0
CLN,01/02/2023 22:00 MST,13.0,114.0,0.0,0.0
CLN,01/02/2023 23:00 MST,13.0,114.0,0.0,0.0
CLN,01/03/2023 00:00 MST,13.0,114.0,0.0,0.0
CLN,01/03/2023 01:00 MST,13.0,113.0,0.0,0.0
CLN,01/03/2023 02:00 MST,13.0,113.0,0.01,0.0
CLN,01/03/2023 03:00 MST,13.0,112.0,0.01,0.0
CLN,01/03/2023 04:00 MST,12.0,112.0,0.0,0.0
CLN,01/03/2023 05:00 MST,12.0,114.0,0.0,1.0
CLN,01/03/2023 06:00 MST,12.0,114.0,0.0,1.0
CLN,01/03/2023 07:00 MST,12.0,111.0,0.0,1.0
CLN,01/03/2023 08:00 MST,12.0,112.0,0.01,0.0
CLN,01/03/2023 09:00 MST,12.0,114.0,0.02,1.0
CLN,01/03/2023 10:00 MST,12.0,115.0,0.04,3.0
CLN,01/03/2023 11:00 MST,14.0,116.0,0.0,4.0
CLN,01/03/2023 12:00 MST,16.0,116.0,0.0,4.0
CLN,01/03/2023 13:00 MST,17.0,116.0,0.0,4.0
CLN,01/03/2023 14:00 MST,16.0,116.0,0.0,4.0
