# STATION: CLN
# STATION NAME: ALTA - COLLINS
# LATITUDE: 40.5763
# LONGITUDE: -111.6383
# ELEVATION [ft]: 9662.0
# STATE: UT
Station_ID,Date_Time,air_temp_set_1,snow_depth_set_1,precip_accum_one_hour_set_1,snow_interval_set_1
,,Fahrenheit,Inches,Inches,Inches
CLN,01/01/2013 00:00 MST,-0.99,70.0,0.0,0.0
CLN,01/01/2013 01:00 MST,-0.0,70.0,0.0,0.0
CLN,01/01/2013 02:00 MST,3.99,70.0,0.0,0.0
CLN,01/01/2013 03:00 MST,6.01,70.0,0.0,0.0
CLN,01/01/2013 04:00 MST,7.0,70.0,0.0,0.0
CLN,01/01/2013 05:00 MST,7.0,69.0,0.0,0.0
CLN,01/01/2013 06:00 MST,8.01,69.0,0.0,0.0
CLN,01/01/2013 07:00 MST,8.01,69.0,0.0,0.0
CLN,01/01/2013 08:00 MST,9.0,69.0,0.0,0.0
CLN,01/01/2013 09:00 MST,8.01,69.0,0.0,0.0
CLN,01/01/2013 10:00 MST,9.0,69.0,0.0,0.0
CLN,01/01/2013 11:00 MST,10.0,69.0,0.0,0.0
CLN,01/01/2013 12:00 MST,10.0,69.0,0.0,0.0
CLN,01/01/2013 13:00 MST,10.99,69.0,0.0,0.0
CLN,01/01/2013 14:00 MST,12.0,68.0,0.0,0.0
CLN,01/01/2013 15:00 MST,10.99,69.0,0.0,0.0
CLN,01/01/2013 16:00 MST,10.0,68.0,0.0,0.0
CLN,01/01/2013 17:00 MST,9.0,68.0,0.0,0.0
CLN,01/01/2013 18:00 MST,8.01,68.0,0.0,0.0
CLN,01/01/2013 19:00 MST,6.01,68.0,0.0,0.0
CLN,01/01/2013 20:00 MST,5.0,68.0,0.0,0.0
CLN,01/01/2013 21:00 MST,5.0,68.0,0.0,0.0
CLN,01/01/2013 22:00 MST,5.0,68.0,0.0,0.0
CLN,01/01/2013 23:00 MST,8.01,68.0,0.0,0.0
CLN,01/02/2013 00:00 MST,9.0,68.0,0.0,0.0
CLN,01/02/2013 01:00 MST,10.0,68.0,0.0,0.0
CLN,01/02/2013 02:00 MST,10.0,68.0,0.0,0.0
CLN,01/02/2013 03:00 MST,10.0,68.0,0.0,0.0
CLN,01/02/2013 04:00 MST,10.99,68.0,0.0,0.0
CLN,01/02/2013 05:00 MST,10.99,68.0,0.0,0.0
CLN,01/02/2013 06:00 MST,10.99,68.0,0.0,0.0
CLN,01/02/2013 07:00 MST,10.0,67.0,0.0,0.0
CLN,01/02/2013 08:00 MST,10.0,67.0,0.0,0.0
CLN,01/02/2013 09:00 MST,10.0,67.0,0.0,0.0
CLN,01/02/2013 10:00 MST,10.99,67.0,0.0,0.0
CLN,01/02/2013 11:00 MST,12.99,67.0,0.0,0.0
CLN,01/02/2013 12:00 MST,15.01,67.0,0.0,0.0
CLN,01/02/2013 13:00 MST,15.01,67.0,0.0,0.0
