# STATION: AMB
# STATION NAME: ALTA - MT BALDY
# LATITUDE: 40.5677
# LONGITUDE: -111.6374
# ELEVATION [ft]: 11066.0
# STATE: UT
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,volts,Fahrenheit,code,Fahrenheit,Fahrenheit
AMB,01/02/2016 00:00 MST,2.5,83.1,29.51,145.9,39.19,12.37,-7.2,SE,,-1.5
AMB,01/02/2016 01:00 MST,2.61,83.0,25.39,153.4,31.38,12.35,-6.52,SSE,,-1.42
AMB,01/02/2016 02:00 MST,2.41,82.9,24.29,154.5,28.99,12.33,-6.66,SSE,,-1.64
AMB,01/02/2016 03:00 MST,3.2,83.4,23.31,172.4,32.99,12.31,-5.39,S,,-0.74
AMB,01/02/2016 04:00 MST,4.89,83.3,23.6,192.6,37.29,12.29,-3.02,SSW,,0.89
AMB,01/02/2016 05:00 MST,8.8,66.3,23.91,214.9,36.71,12.28,,SW,,-0.25
AMB,01/02/2016 06:00 MST,8.91,76.8,18.5,208.2,36.19,12.26,,SSW,,3.04
AMB,01/02/2016 07:00 MST,9.1,82.4,16.6,205.8,38.01,12.25,,SSW,,4.77
AMB,01/02/2016 08:00 MST,10.0,82.3,15.9,197.0,40.31,12.24,,SSW,,5.63
AMB,01/02/2016 09:00 MST,12.09,65.7,25.39,203.9,38.79,12.37,,SSW,,2.69
AMB,01/02/2016 10:00 MST,13.41,58.3,27.89,203.6,40.8,13.56,,SSW,,1.35
AMB,01/02/2016 11:00 MST,15.91,39.4,29.8,208.0,41.38,13.71,,SSW,,-4.66
AMB,01/02/2016 12:00 MST,16.2,39.5,21.61,214.8,34.99,13.69,,SW,,-4.34
AMB,01/02/2016 13:00 MST,16.11,50.1,13.49,207.5,28.59,13.65,,SSW,,0.61
AMB,01/02/2016 14:00 MST,17.91,55.1,8.99,224.5,31.61,13.65,,SW,,4.35
AMB,01/02/2016 15:00 MST,19.51,48.4,5.91,245.8,17.81,13.54,,WSW,,3.0
AMB,01/02/2016 16:00 MST,18.61,45.8,13.2,216.5,29.91,13.17,,SW,,0.98
AMB,01/02/2016 17:00 MST,17.8,53.3,15.79,208.1,30.4,12.72,,SSW,,3.52
AMB,01/02/2016 18:00 MST,17.8,60.0,18.41,208.4,32.99,12.55,,SSW,,6.12
AMB,01/02/2016 19:00 MST,18.19,53.6,22.91,193.0,40.6,12.5,,SSW,,4.0
AMB,01/02/2016 20:00 MST,18.9,45.9,25.21,187.2,43.28,12.47,,S,,1.29
AMB,01/02/2016 21:00 MST,19.29,42.6,23.8,184.2,39.5,12.45,,S,,0.05
AMB,01/02/2016 22:00 MST,19.8,38.6,25.59,189.0,39.39,12.43,,S,,-1.58
AMB,01/02/2016 23:00 MST,20.41,35.8,27.0,198.1,41.99,12.41,,SSW,,-2.63
AMB,01/03/2016 00:00 MST,20.89,34.5,25.79,194.4,38.59,12.39,,SSW,,-2.98
AMB,01/03/2016 01:00 MST,21.4,31.3,26.71,198.5,37.29,12.37,,SSW,,-4.56
AMB,01/03/2016 02:00 MST,21.79,30.5,26.8,205.2,37.4,12.35,,SSW,,-4.75
AMB,01/03/2016 03:00 MST,22.21,27.9,28.01,199.9,39.59,12.33,,SSW,,-6.22
AMB,01/03/2016 04:00 MST,21.9,26.5,23.69,193.9,35.79,12.31,,SSW,,-7.55
AMB,01/03/2016 05:00 MST,21.51,26.4,23.4,189.4,34.81,12.3,,S,,-7.96
AMB,01/03/2016 06:00 MST,22.21,24.7,24.4,191.3,36.19,12.28,,SSW,,-8.71
AMB,01/03/2016 07:00 MST,21.79,27.9,19.89,161.4,31.29,12.27,,SSE,,-6.59
AMB,01/03/2016 08:00 MST,22.8,30.4,19.89,167.4,28.7,12.27,,SSE,,-3.93
AMB,01/03/2016 09:00 MST,23.4,32.2,23.49,156.1,36.6,12.37,,SSE,,-2.2
AMB,01/03/2016 10:00 MST,24.4,30.9,22.3,162.0,34.09,13.58,,SSE,,-2.19
AMB,01/03/2016 11:00 MST,24.6,30.7,14.99,153.5,24.58,13.56,,SSE,,-2.15
AMB,01/03/2016 12:00 MST,24.3,34.3,16.6,144.9,30.31,13.55,,SE,,-0.07
AMB,01/03/2016 13:00 MST,25.39,34.0,14.9,159.6,31.09,13.52,,SSE,,0.71
AMB,01/03/2016 14:00 MST,24.6,37.8,15.59,154.7,27.0,13.53,,SSE,,2.28
AMB,01/03/2016 15:00 MST,24.01,41.0,14.81,150.7,24.0,13.35,,SSE,,3.51
AMB,01/03/2016 16:00 MST,23.4,42.4,16.69,142.1,28.9,13.11,,SE,,3.68
AMB,01/03/2016 17:00 MST,21.4,46.3,17.9,137.2,22.79,12.74,,SE,,3.78
AMB,01/03/2016 18:00 MST,19.71,47.2,20.0,142.2,26.8,12.57,,SE,,2.64
AMB,01/03/2016 19:00 MST,19.2,46.7,21.0,148.5,29.39,12.52,,SSE,,1.94
AMB,01/03/2016 20:00 MST,18.5,45.5,20.89,148.0,30.0,12.49,,SSE,,0.74
AMB,01/03/2016 21:00 MST,18.9,44.1,26.11,151.6,45.7,12.47,,SSE,,0.44
AMB,01/03/2016 22:00 MST,19.71,45.6,28.59,148.2,45.5,12.45,,SSE,,1.9
AMB,01/03/2016 23:00 MST,19.2,49.9,23.2,141.6,33.29,12.43,,SE,,3.38
AMB,01/04/2016 00:00 MST,18.39,51.9,22.91,141.2,31.0,12.41,,SE,,3.49
AMB,01/04/2016 01:00 MST,19.9,56.5,25.1,159.6,36.8,12.4,,SSE,,6.76
AMB,01/04/2016 02:00 MST,20.1,70.0,25.3,161.5,35.99,12.38,,SSE,,11.78
AMB,01/04/2016 03:00 MST,19.99,68.2,23.49,150.1,31.29,12.36,,SSE,,11.08
AMB,01/04/2016 04:00 MST,20.3,65.1,21.09,143.2,31.9,12.35,,SE,,10.32
AMB,01/04/2016 05:00 MST,19.71,51.1,20.4,155.7,30.09,12.33,,SSE,,4.37
AMB,01/04/2016 06:00 MST,19.51,49.4,17.2,158.2,28.9,12.32,,SSE,,3.45
AMB,01/04/2016 07:00 MST,18.61,52.9,18.9,161.1,40.6,12.3,,SSE,,4.11
AMB,01/04/2016 08:00 MST,17.2,58.9,20.69,143.0,29.3,12.29,,SE,,5.15
AMB,01/04/2016 09:00 MST,14.4,80.1,23.31,140.3,31.21,12.31,,SE,,9.32
AMB,01/04/2016 10:00 MST,16.5,90.3,22.3,154.6,26.4,12.54,,SSE,,14.12
AMB,01/04/2016 11:00 MST,18.0,91.0,22.19,152.6,30.71,12.8,,SSE,,15.78
AMB,01/04/2016 12:00 MST,19.2,91.7,23.0,147.8,29.71,13.27,,SSE,,17.15
AMB,01/04/2016 13:00 MST,19.71,92.0,21.7,152.4,27.49,13.5,,SSE,,17.73
AMB,01/04/2016 14:00 MST,19.2,91.6,18.59,142.7,25.59,13.39,,SE,,17.13
AMB,01/04/2016 15:00 MST,18.39,91.2,23.0,139.6,30.8,13.18,,SE,,16.22
AMB,01/04/2016 16:00 MST,17.49,90.7,19.19,142.3,25.39,12.95,,SE,,15.2
AMB,01/04/2016 17:00 MST,17.1,90.6,20.0,140.0,34.99,12.67,,SE,,14.79
AMB,01/04/2016 18:00 MST,14.4,89.4,25.59,142.9,32.3,12.52,,SE,,11.82
AMB,01/04/2016 19:00 MST,13.8,89.1,20.8,156.1,31.61,12.47,,SSE,,11.15
AMB,01/04/2016 20:00 MST,14.0,89.5,19.1,163.6,26.71,12.43,,SSE,,11.45
AMB,01/04/2016 21:00 MST,16.81,90.8,18.41,183.3,24.4,12.4,,S,,14.56
AMB,01/04/2016 22:00 MST,17.71,91.3,15.5,186.2,24.0,12.38,,S,,15.57
AMB,01/04/2016 23:00 MST,18.0,91.4,16.8,195.8,27.6,12.36,,SSW,,15.89
AMB,01/05/2016 00:00 MST,18.0,91.4,16.4,193.7,27.0,12.33,,SSW,,15.89
AMB,01/05/2016 01:00 MST,17.6,91.1,15.9,193.4,25.1,12.31,,SSW,,15.41
AMB,01/05/2016 02:00 MST,17.49,91.1,16.4,202.3,22.1,12.3,,SSW,,15.31
AMB,01/05/2016 03:00 MST,17.6,91.2,16.28,207.9,27.6,12.29,,SSW,,15.44
AMB,01/05/2016 04:00 MST,17.8,91.3,15.39,222.7,26.19,12.28,,SW,,15.66
AMB,01/05/2016 05:00 MST,17.91,91.3,14.9,221.2,23.31,12.27,,SW,,15.77
AMB,01/05/2016 06:00 MST,17.4,91.0,12.19,204.5,18.5,12.26,,SSW,,15.19
AMB,01/05/2016 07:00 MST,17.49,91.1,12.8,201.7,19.8,12.25,,SSW,,15.31
AMB,01/05/2016 08:00 MST,17.2,90.8,12.8,202.1,20.8,12.25,,SSW,,14.94
AMB,01/05/2016 09:00 MST,17.01,90.7,13.89,189.9,23.8,12.25,,S,,14.73
AMB,01/05/2016 10:00 MST,17.2,90.6,19.48,178.5,30.0,12.28,,S,,14.89
AMB,01/05/2016 11:00 MST,17.29,90.6,19.48,159.0,37.4,12.3,,SSE,,14.98
AMB,01/05/2016 12:00 MST,17.29,90.5,20.8,172.6,31.61,12.31,,S,,14.95
AMB,01/05/2016 13:00 MST,16.81,90.3,22.59,154.9,37.69,12.3,,SSE,,14.43
AMB,01/05/2016 14:00 MST,17.71,90.9,14.5,154.8,30.8,12.34,,SSE,,15.47
AMB,01/05/2016 15:00 MST,17.49,90.7,11.7,174.3,33.69,12.28,,S,,15.2
AMB,01/05/2016 16:00 MST,16.5,90.3,12.91,190.5,36.8,12.28,,S,,14.12
AMB,01/05/2016 17:00 MST,15.91,90.1,10.6,190.6,28.59,12.24,,S,,13.49
AMB,01/05/2016 18:00 MST,16.0,90.2,9.6,191.4,23.0,12.22,,SSW,,13.6
AMB,01/05/2016 19:00 MST,16.11,90.3,10.8,188.0,23.4,12.22,,S,,13.74
AMB,01/05/2016 20:00 MST,16.11,90.3,7.7,171.0,16.11,12.22,,S,,13.74
AMB,01/05/2016 21:00 MST,15.91,90.2,8.3,162.9,15.59,12.21,,SSE,,13.51
AMB,01/05/2016 22:00 MST,16.39,90.5,14.9,181.4,28.1,12.21,,S,,14.06
AMB,01/05/2016 23:00 MST,16.5,90.5,10.0,193.8,19.89,12.21,,SSW,,14.17
AMB,01/06/2016 00:00 MST,16.59,90.6,8.7,209.3,19.39,12.2,,SSW,,14.29
AMB,01/06/2016 01:00 MST,16.59,90.6,5.79,192.5,14.81,12.2,,SSW,,14.29
AMB,01/06/2016 02:00 MST,16.59,90.6,5.5,171.9,10.4,12.2,,S,,14.29
AMB,01/06/2016 03:00 MST,16.39,90.5,6.91,172.9,12.8,12.2,,S,,14.06
AMB,01/06/2016 04:00 MST,16.3,90.4,4.5,164.3,8.99,12.2,,SSE,,13.95
AMB,01/06/2016 05:00 MST,16.0,90.2,4.0,148.7,6.2,12.19,,SSE,,13.6
AMB,01/06/2016 06:00 MST,15.01,89.7,6.51,140.7,7.81,12.19,,SE,,12.5
AMB,01/06/2016 07:00 MST,14.4,89.4,5.21,140.0,6.11,12.19,,SE,,11.82
AMB,01/06/2016 08:00 MST,14.2,89.3,11.79,140.3,24.49,12.18,,SE,,11.59
AMB,01/06/2016 09:00 MST,14.4,89.5,15.59,136.4,22.79,12.18,,SE,,11.84
AMB,01/06/2016 10:00 MST,15.01,89.7,17.49,145.5,24.0,12.19,,SE,,12.5
AMB,01/06/2016 11:00 MST,15.69,89.9,14.81,148.5,21.9,12.2,,SSE,,13.22
AMB,01/06/2016 12:00 MST,16.2,90.4,11.79,141.1,18.99,12.2,,SE,,13.85
AMB,01/06/2016 13:00 MST,17.2,90.7,8.41,154.7,12.3,12.2,,SSE,,14.92
AMB,01/06/2016 14:00 MST,18.39,90.9,5.5,199.8,11.5,12.2,,SSW,,16.15
AMB,01/06/2016 15:00 MST,18.7,91.1,5.1,201.6,10.29,12.18,,SSW,,16.5
AMB,01/06/2016 16:00 MST,18.39,91.3,4.99,220.5,9.1,12.17,,SW,,16.25
AMB,01/06/2016 17:00 MST,17.4,90.9,5.79,227.8,10.4,12.17,,SW,,15.17
AMB,01/06/2016 18:00 MST,16.5,90.4,2.71,202.7,10.2,12.17,,SSW,,14.15
AMB,01/06/2016 19:00 MST,15.8,90.1,3.6,182.5,10.4,12.17,,S,,13.38
AMB,01/06/2016 20:00 MST,15.49,89.9,5.5,185.1,7.61,12.16,,S,,13.02
AMB,01/06/2016 21:00 MST,15.21,89.8,4.99,192.9,5.79,12.16,,SSW,,12.72
AMB,01/06/2016 22:00 MST,15.21,89.8,4.5,219.4,5.79,12.16,,SW,,12.72
AMB,01/06/2016 23:00 MST,15.1,89.8,2.59,254.3,5.79,12.15,,WSW,,12.61
AMB,01/07/2016 00:00 MST,14.59,89.4,2.01,241.6,5.79,12.15,,WSW,,12.0
AMB,01/07/2016 01:00 MST,14.0,89.2,1.21,259.0,5.79,12.15,,W,,11.37
AMB,01/07/2016 02:00 MST,13.41,88.9,0.0,,0.29,12.15,,,,10.71
AMB,01/07/2016 03:00 MST,12.31,88.2,1.1,194.2,5.79,12.14,,SSW,,9.45
AMB,01/07/2016 04:00 MST,11.8,88.1,1.9,203.1,5.7,12.14,,SSW,,8.92
AMB,01/07/2016 05:00 MST,11.61,87.9,0.0,,0.4,12.14,,,,8.68
AMB,01/07/2016 06:00 MST,10.99,87.6,0.0,,0.29,12.14,,,,7.99
AMB,01/07/2016 07:00 MST,11.5,88.0,0.0,,0.29,12.13,,,,8.6
AMB,01/07/2016 08:00 MST,11.7,88.0,0.0,,0.11,12.13,,,,8.79
AMB,01/07/2016 09:00 MST,11.8,87.9,0.0,,0.0,12.13,,,,8.87
AMB,01/07/2016 10:00 MST,12.51,88.2,0.0,,0.0,12.13,,,,9.64
AMB,01/07/2016 11:00 MST,13.5,88.7,0.0,,0.0,12.14,,,,10.75
AMB,01/07/2016 12:00 MST,13.8,88.8,0.0,,0.11,12.16,,,,11.07
AMB,01/07/2016 13:00 MST,13.8,88.7,0.0,,0.29,12.15,,,,11.04
