# STATION: CLN
# STATION NAME: ALTA - COLLINS
# LATITUDE: 40.5763
# LONGITUDE: -111.6383
# ELEVATION [ft]: 9662.0
# STATE: UT
Station_ID,Date_Time,air_temp_set_1,snow_depth_set_1,precip_accum_one_hour_set_1,snow_interval_set_1
,,Fahrenheit,Inches,Inches,Inches
CLN,01/01/2015 00:00 MST,12.99,70.0,0.0,0.0
CLN,01/01/2015 01:00 MST,12.0,70.0,0.0,0.0
CLN,01/01/2015 02:00 MST,12.0,70.0,0.0,0.0
CLN,01/01/2015 03:00 MST,10.99,70.0,0.0,0.0
CLN,01/01/2015 04:00 MST,12.99,70.0,0.0,0.0
CLN,01/01/2015 05:00 MST,14.0,69.0,0.0,0.0
CLN,01/01/2015 06:00 MST,12.0,69.0,0.0,0.0
CLN,01/01/2015 07:00 MST,12.0,70.0,0.0,0.0
CLN,01/01/2015 08:00 MST,10.99,70.0,0.0,0.0
CLN,01/01/2015 09:00 MST,12.99,69.0,0.0,0.0
CLN,01/01/2015 10:00 MST,14.0,69.0,0.0,0.0
CLN,01/01/2015 11:00 MST,17.01,69.0,0.0,0.0
CLN,01/01/2015 12:00 MST,18.0,69.0,0.0,0.0
CLN,01/01/2015 13:00 MST,15.01,69.0,0.0,0.0
CLN,01/01/2015 14:00 MST,18.0,68.0,0.0,0.0
CLN,01/01/2015 15:00 MST,16.0,69.0,0.0,0.0
CLN,01/01/2015 16:00 MST,15.01,68.0,0.0,0.0
CLN,01/01/2015 17:00 MST,14.0,68.0,0.0,0.0
CLN,01/01/2015 18:00 MST,12.99,68.0,0.0,0.0
CLN,01/01/2015 19:00 MST,14.0,68.0,0.0,0.0
CLN,01/01/2015 20:00 MST,16.0,68.0,0.0,0.0
CLN,01/01/2015 21:00 MST,18.0,68.0,0.0,0.0
CLN,01/01/2015 22:00 MST,18.0,68.0,0.0,0.0
CLN,01/01/2015 23:00 MST,17.01,68.0,0.0,0.0
CLN,01/02/2015 00:00 MST,16.0,67.0,0.0,0.0
CLN,01/02/2015 01:00 MST,17.01,68.0,0.0,0.0
CLN,01/02/2015 02:00 MST,17.01,68.0,0.0,0.0
CLN,01/02/2015 03:00 MST,16.0,68.0,0.0,0.0
CLN,01/02/2015 04:00 MST,16.0,68.0,0.0,0.0
