# STATION: AMB
# STATION NAME: ALTA - MT BALDY
# LATITUDE: 40.5677
# LONGITUDE: -111.6374
# ELEVATION [ft]: 11066.0
# STATE: UT
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,volts,Fahrenheit,code,Fahrenheit,Fahrenheit
AMB,01/01/2017 00:00 MST,10.9,77.1,27.0,256.7,30.6,12.41,,WSW,,5.06
AMB,01/01/2017 01:00 MST,12.2,58.9,28.3,259.2,32.7,12.4,,W,,0.43
AMB,01/01/2017 02:00 MST,12.2,62.7,26.6,259.2,34.9,12.39,,W,,1.78
AMB,01/01/2017 03:00 MST,11.89,63.4,20.8,252.0,27.4,12.38,,WSW,,1.73
AMB,01/01/2017 04:00 MST,11.89,68.2,21.39,246.5,31.29,12.37,,WSW,,3.32
AMB,01/01/2017 05:00 MST,12.6,66.4,25.59,240.1,42.19,12.36,,WSW,,3.41
AMB,01/01/2017 06:00 MST,13.1,64.4,27.6,235.5,41.38,12.36,,SW,,3.22
AMB,01/01/2017 07:00 MST,13.5,60.0,20.8,239.6,34.9,12.35,,WSW,,2.06
AMB,01/01/2017 08:00 MST,13.5,62.2,21.79,242.1,35.99,12.35,,WSW,,2.84
AMB,01/01/2017 09:00 MST,13.89,59.1,24.29,243.5,38.3,13.52,,WSW,,2.1
AMB,01/01/2017 10:00 MST,14.0,59.5,22.68,240.9,37.78,13.67,,WSW,,2.35
AMB,01/01/2017 11:00 MST,13.1,73.3,13.6,211.5,37.0,13.66,,SSW,,6.07
AMB,01/01/2017 12:00 MST,12.31,84.1,10.2,210.0,32.39,13.68,,SSW,,8.37
AMB,01/01/2017 13:00 MST,12.0,84.3,11.9,246.0,32.99,13.56,,WSW,,8.12
AMB,01/01/2017 14:00 MST,13.3,83.3,8.19,213.8,31.09,13.65,,SW,,9.13
AMB,01/01/2017 15:00 MST,12.0,84.0,17.29,193.3,42.5,13.37,,SSW,,8.04
AMB,01/01/2017 16:00 MST,11.89,81.6,25.1,190.4,45.7,13.12,,S,,7.28
AMB,01/01/2017 17:00 MST,11.19,87.6,32.5,180.6,53.1,12.71,,S,,8.19
AMB,01/01/2017 18:00 MST,11.7,88.0,22.5,183.4,46.8,12.54,,S,,8.79
AMB,01/01/2017 19:00 MST,11.89,88.0,18.81,198.9,45.7,12.5,,SSW,,8.98
AMB,01/01/2017 20:00 MST,12.0,88.1,15.3,215.3,35.9,12.47,,SW,,9.12
AMB,01/01/2017 21:00 MST,11.89,88.1,19.3,213.1,49.68,12.45,,SSW,,9.01
AMB,01/01/2017 22:00 MST,11.7,87.9,18.19,208.7,38.41,12.44,,SSW,,8.77
AMB,01/01/2017 23:00 MST,11.3,87.8,17.0,207.5,45.19,12.42,,SSW,,8.35
AMB,01/02/2017 00:00 MST,11.61,87.9,18.01,226.5,37.4,12.41,,SW,,8.68
AMB,01/02/2017 01:00 MST,11.3,87.8,20.09,234.0,41.61,12.4,,SW,,8.35
AMB,01/02/2017 02:00 MST,11.41,87.8,24.58,242.1,55.01,12.39,,WSW,,8.46
AMB,01/02/2017 03:00 MST,10.8,87.4,24.49,237.8,46.71,12.38,,WSW,,7.75
AMB,01/02/2017 04:00 MST,7.3,85.7,20.89,242.9,53.8,12.37,,WSW,,3.87
AMB,01/02/2017 05:00 MST,4.69,84.4,26.51,256.6,41.99,12.36,-3.67,WSW,,0.98
AMB,01/02/2017 06:00 MST,3.31,83.6,21.61,256.7,32.1,12.35,-4.99,WSW,,-0.58
AMB,01/02/2017 07:00 MST,2.7,83.4,21.9,256.1,33.29,12.34,-5.9,WSW,,-1.23
AMB,01/02/2017 08:00 MST,2.41,83.3,19.71,254.5,31.0,12.33,-5.96,WSW,,-1.54
AMB,01/02/2017 09:00 MST,3.09,83.5,17.2,255.7,27.29,12.34,-4.57,WSW,,-0.82
AMB,01/02/2017 10:00 MST,3.79,83.6,13.69,253.5,23.31,12.42,-2.91,WSW,,-0.11
AMB,01/02/2017 11:00 MST,4.89,83.9,14.99,249.0,27.49,12.55,-1.68,WSW,,1.04
AMB,01/02/2017 12:00 MST,5.0,83.6,14.81,257.9,28.19,12.66,-1.49,WSW,,1.07
AMB,01/02/2017 13:00 MST,4.8,83.4,11.9,243.6,30.2,12.63,-1.15,WSW,,0.83
AMB,01/02/2017 14:00 MST,5.11,83.9,15.5,239.1,45.7,12.6,-1.47,WSW,,1.26
AMB,01/02/2017 15:00 MST,6.91,84.8,19.48,239.3,38.59,12.66,0.4,WSW,,3.26
AMB,01/02/2017 16:00 MST,6.49,84.8,18.9,229.5,41.5,12.66,-0.11,SW,,2.85
AMB,01/02/2017 17:00 MST,6.91,85.2,17.0,225.6,40.31,12.5,0.76,SW,,3.36
AMB,01/02/2017 18:00 MST,6.21,85.1,16.2,220.9,38.9,12.36,-0.08,SW,,2.65
AMB,01/02/2017 19:00 MST,6.91,85.3,16.11,218.7,42.19,12.32,0.91,SW,,3.39
AMB,01/02/2017 20:00 MST,7.11,85.4,20.0,228.3,47.4,12.31,0.61,SW,,3.61
AMB,01/02/2017 21:00 MST,7.0,85.4,19.6,224.3,47.6,12.3,0.51,SW,,3.5
AMB,01/02/2017 22:00 MST,7.3,85.5,22.19,225.5,45.39,12.29,,SW,,3.82
AMB,01/02/2017 23:00 MST,7.0,85.4,20.69,222.6,46.3,12.29,0.36,SW,,3.5
AMB,01/03/2017 00:00 MST,7.39,85.6,21.3,232.7,44.4,12.28,,SW,,3.94
AMB,01/03/2017 01:00 MST,7.3,85.5,21.7,238.1,42.39,12.28,,WSW,,3.82
AMB,01/03/2017 02:00 MST,7.0,85.3,19.71,247.2,41.9,12.28,0.49,WSW,,3.48
AMB,01/03/2017 03:00 MST,6.01,84.9,20.0,252.8,39.5,12.27,-0.94,WSW,,2.4
AMB,01/03/2017 04:00 MST,5.9,84.8,19.39,254.9,33.6,12.27,-1.01,WSW,,2.27
AMB,01/03/2017 05:00 MST,3.99,83.7,19.8,259.6,29.1,12.26,-3.75,W,,0.11
AMB,01/03/2017 06:00 MST,3.7,83.8,17.81,256.0,25.79,12.26,-3.83,WSW,,-0.15
AMB,01/03/2017 07:00 MST,4.41,84.1,17.9,254.4,27.11,12.26,-2.86,WSW,,0.62
AMB,01/03/2017 08:00 MST,5.0,84.3,20.89,252.2,34.29,12.25,-2.49,WSW,,1.26
AMB,01/03/2017 09:00 MST,3.99,83.7,27.11,251.5,43.8,12.27,-4.75,WSW,,0.11
AMB,01/03/2017 10:00 MST,4.3,84.0,24.7,243.5,40.8,12.41,-4.01,WSW,,0.49
AMB,01/03/2017 11:00 MST,5.7,84.5,23.09,230.1,40.0,12.62,-1.8,SW,,1.99
AMB,01/03/2017 12:00 MST,6.6,84.8,20.89,225.9,44.81,12.84,-0.23,SW,,2.95
AMB,01/03/2017 13:00 MST,6.6,84.7,23.6,234.3,42.59,13.05,-0.58,SW,,2.93
AMB,01/03/2017 14:00 MST,6.4,84.7,24.58,234.5,41.99,13.15,-0.98,SW,,2.73
AMB,01/03/2017 15:00 MST,6.8,85.0,22.68,236.6,43.11,13.05,-0.18,WSW,,3.2
AMB,01/03/2017 16:00 MST,7.39,85.4,24.58,228.1,47.4,12.83,,SW,,3.88
AMB,01/03/2017 17:00 MST,7.59,85.6,25.5,242.8,45.5,12.56,,WSW,,4.13
AMB,01/03/2017 18:00 MST,8.01,86.0,24.4,238.9,44.49,12.42,,WSW,,4.65
AMB,01/03/2017 19:00 MST,8.6,86.3,23.69,234.4,44.09,12.37,,SW,,5.31
AMB,01/03/2017 20:00 MST,9.3,86.6,26.31,237.9,43.11,12.33,,WSW,,6.07
AMB,01/03/2017 21:00 MST,9.39,86.7,24.0,220.0,38.59,12.31,,SW,,6.19
AMB,01/03/2017 22:00 MST,10.0,87.1,24.29,213.8,45.39,12.29,,SW,,6.89
AMB,01/03/2017 23:00 MST,11.1,87.6,23.91,208.1,45.9,12.27,,SSW,,8.1
AMB,01/04/2017 00:00 MST,11.5,87.8,29.19,203.5,46.39,12.26,,SSW,,8.55
AMB,01/04/2017 01:00 MST,11.8,88.1,30.6,185.4,56.89,12.25,,S,,8.92
AMB,01/04/2017 02:00 MST,12.79,88.6,31.9,196.3,58.61,12.25,,SSW,,10.02
AMB,01/04/2017 03:00 MST,14.59,89.6,30.71,216.3,64.49,12.24,,SW,,12.06
AMB,01/04/2017 04:00 MST,16.11,90.4,31.5,231.2,74.6,12.24,,SW,,13.76
AMB,01/04/2017 05:00 MST,16.3,90.5,28.59,241.4,57.89,12.24,,WSW,,13.98
AMB,01/04/2017 06:00 MST,16.0,90.4,32.19,235.7,57.09,12.24,,SW,,13.65
AMB,01/04/2017 07:00 MST,15.49,90.1,28.41,230.9,56.89,12.24,,SW,,13.07
AMB,01/04/2017 08:00 MST,16.0,90.3,31.09,228.2,63.39,12.23,,SW,,13.63
AMB,01/04/2017 09:00 MST,15.4,90.0,28.99,231.2,60.69,12.23,,SW,,12.96
AMB,01/04/2017 10:00 MST,15.6,90.2,27.69,230.8,57.09,12.26,,SW,,13.21
AMB,01/04/2017 11:00 MST,16.0,90.3,25.99,241.4,43.4,12.34,,WSW,,13.63
AMB,01/04/2017 12:00 MST,16.81,90.8,24.9,249.0,44.81,12.47,,WSW,,14.56
