# STATION: AMB
# STATION NAME: ALTA - MT BALDY
# LATITUDE: 40.5677
# LONGITUDE: -111.6374
# ELEVATION [ft]: 11066.0
# STATE: UT
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,volts,Fahrenheit,code,Fahrenheit,Fahrenheit
AMB,01/01/2022 00:00 MST,-6.1,83.8,14.2,325.4,22.09,12.28,-16.52,NW,,-9.76
AMB,01/01/2022 01:00 MST,-6.9,83.4,15.9,311.2,21.39,12.28,-18.1,NW,,-10.64
AMB,01/01/2022 02:00 MST,-7.2,83.2,12.5,313.8,20.7,12.28,-17.48,NW,,-10.98
AMB,01/01/2022 03:00 MST,-7.3,83.2,12.9,311.1,21.6,12.28,-17.75,NW,,-11.08
AMB,01/01/2022 04:00 MST,-8.0,82.9,17.0,311.2,27.4,12.27,-19.91,NW,,-11.84
AMB,01/01/2022 05:00 MST,-9.2,82.3,17.5,312.9,26.2,12.27,-21.71,NW,,-13.16
AMB,01/01/2022 06:00 MST,-10.2,81.9,20.7,310.1,30.6,12.27,-23.92,NW,,-14.23
AMB,01/01/2022 07:00 MST,-10.8,81.6,23.4,314.5,30.6,12.27,-25.38,NW,,-14.89
AMB,01/01/2022 08:00 MST,-11.1,81.5,24.5,327.9,31.3,12.27,-26.04,NNW,,-15.21
AMB,01/01/2022 09:00 MST,-10.2,81.8,21.6,324.6,30.2,12.35,-24.12,NW,,-14.26
AMB,01/01/2022 10:00 MST,-9.4,82.0,21.09,325.4,28.9,12.54,-22.88,NW,,-13.43
AMB,01/01/2022 11:00 MST,-8.6,82.3,21.6,326.2,29.4,12.69,-21.86,NW,,-12.57
AMB,01/01/2022 12:00 MST,-8.2,82.4,21.09,331.6,29.0,12.8,-21.18,NNW,,-12.15
AMB,01/01/2022 13:00 MST,-7.6,82.7,21.5,325.5,29.79,12.85,-20.42,NW,,-11.49
AMB,01/01/2022 14:00 MST,-6.4,83.3,22.69,311.3,30.8,12.82,-18.96,NW,,-10.17
AMB,01/01/2022 15:00 MST,-5.8,83.6,21.09,311.3,29.4,12.73,-17.79,NW,,-9.51
AMB,01/01/2022 16:00 MST,-5.2,84.0,29.6,313.2,36.4,12.59,-18.43,NW,,-8.82
AMB,01/01/2022 17:00 MST,-4.0,84.7,27.4,318.2,33.8,12.49,-16.35,NW,,-7.48
AMB,01/01/2022 18:00 MST,-3.6,84.9,30.5,311.3,38.3,12.42,-16.23,NW,,-7.03
