# STATION: AMB
# STATION NAME: ALTA - MT BALDY
# LATITUDE: 40.5677
# LONGITUDE: -111.6374
# ELEVATION [ft]: 11066.0
# STATE: UT
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,volts,Fahrenheit,code,Fahrenheit,Fahrenheit
AMB,01/01/2019 00:00 MST,-8.19,78.2,22.79,86.7,29.51,12.34,-21.53,E,,-13.2
AMB,01/01/2019 01:00 MST,-6.0,79.2,18.81,71.7,25.5,12.31,-17.57,ENE,,-10.81
AMB,01/01/2019 02:00 MST,-6.3,78.9,24.81,47.6,38.1,12.29,-19.22,NE,,-11.18
AMB,01/01/2019 03:00 MST,-6.11,79.1,26.4,32.3,38.1,12.26,-19.23,NNE,,-10.94
AMB,01/01/2019 04:00 MST,-5.21,79.4,25.79,29.1,32.59,12.24,-17.83,NNE,,-9.99
AMB,01/01/2019 05:00 MST,-5.1,78.6,24.58,24.9,33.69,12.21,-17.46,NNE,,-10.09
AMB,01/01/2019 06:00 MST,-5.49,74.9,21.09,30.1,33.51,12.19,-17.35,NNE,,-11.45
AMB,01/01/2019 07:00 MST,-4.2,69.5,24.49,18.7,33.6,12.17,-16.16,NNE,,-11.71
AMB,01/01/2019 08:00 MST,-5.01,68.3,23.69,20.3,34.29,12.2,-17.17,NNE,,-12.84
AMB,01/01/2019 09:00 MST,-5.8,70.0,20.6,356.9,37.29,13.91,-17.68,N,,-13.11
AMB,01/01/2019 10:00 MST,-4.4,62.5,26.89,8.3,42.9,13.96,-16.85,N,,-14.03
AMB,01/01/2019 11:00 MST,-2.0,51.0,19.71,13.3,34.49,13.9,-12.15,NNE,,-15.8
AMB,01/01/2019 12:00 MST,-1.19,44.8,17.0,358.2,31.21,13.86,-10.47,N,,-17.59
AMB,01/01/2019 13:00 MST,-0.99,43.9,17.09,358.8,32.1,13.84,-10.21,N,,-17.8
AMB,01/01/2019 14:00 MST,-0.8,33.4,20.2,7.8,31.09,13.84,-10.56,N,,-22.84
AMB,01/01/2019 15:00 MST,-1.3,37.9,14.09,358.0,29.3,13.77,-9.94,N,,-20.9
AMB,01/01/2019 16:00 MST,-2.31,39.0,16.8,346.7,30.8,13.27,-11.98,NNW,,-21.27
AMB,01/01/2019 17:00 MST,-2.7,31.3,20.09,345.6,33.29,12.89,-13.21,NNW,,-25.72
AMB,01/01/2019 18:00 MST,-3.1,28.1,22.19,348.1,33.91,12.59,-14.18,NNW,,-28.04
AMB,01/01/2019 19:00 MST,-1.8,19.9,24.2,357.9,33.8,12.51,-12.67,N,,-33.08
AMB,01/01/2019 20:00 MST,-0.8,18.3,23.0,354.7,31.0,12.48,-11.05,N,,-33.71
AMB,01/01/2019 21:00 MST,-0.2,29.5,19.8,349.4,29.8,12.45,-9.64,N,,-24.63
AMB,01/01/2019 22:00 MST,0.61,79.2,19.71,0.5,29.71,12.42,-8.49,N,,-4.37
AMB,01/01/2019 23:00 MST,3.9,70.0,19.39,9.4,25.88,12.4,-3.81,N,,-3.79
AMB,01/02/2019 00:00 MST,7.5,64.7,18.3,8.9,23.49,12.38,,N,,-2.01
AMB,01/02/2019 01:00 MST,12.9,31.9,14.9,11.5,18.41,12.37,,NNE,,-11.64
AMB,01/02/2019 02:00 MST,15.1,16.6,10.49,9.1,16.6,12.35,,N,,-22.38
