# STATION: AMB
# STATION NAME: ALTA - MT BALDY
# LATITUDE: 40.5677
# LONGITUDE: -111.6374
# ELEVATION [ft]: 11066.0
# STATE: UT
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,volts,Fahrenheit,code,Fahrenheit,Fahrenheit
AMB,01/02/2020 00:00 MST,8.49,92.6,28.3,287.2,47.89,12.16,,WNW,,6.76
AMB,01/02/2020 01:00 MST,8.4,92.5,26.4,285.6,42.19,12.15,,WNW,,6.65
AMB,01/02/2020 02:00 MST,8.4,92.4,30.2,280.0,50.2,12.14,,W,,6.63
AMB,01/02/2020 03:00 MST,8.1,91.8,30.09,286.2,45.99,12.13,,WNW,,6.18
AMB,01/02/2020 04:00 MST,7.7,91.4,26.4,288.9,43.8,12.12,,WNW,,5.69
AMB,01/02/2020 05:00 MST,7.39,90.6,24.81,283.6,34.49,12.12,,WNW,,5.19
AMB,01/02/2020 06:00 MST,7.2,90.2,19.1,289.1,27.11,12.11,0.86,WNW,,4.9
AMB,01/02/2020 07:00 MST,6.49,89.1,12.91,295.3,18.3,12.1,0.91,WNW,,3.93
AMB,01/02/2020 08:00 MST,6.1,88.5,12.59,303.5,19.8,12.1,0.45,WNW,,3.4
AMB,01/02/2020 09:00 MST,6.21,88.4,13.2,328.5,18.9,12.19,0.47,NNW,,3.48
AMB,01/02/2020 10:00 MST,6.49,89.1,13.2,311.8,23.09,12.13,0.85,NW,,3.93
AMB,01/02/2020 11:00 MST,7.5,90.5,12.59,264.9,17.29,12.12,,W,,5.27
AMB,01/02/2020 12:00 MST,8.4,91.1,20.4,262.4,33.4,12.13,,W,,6.31
AMB,01/02/2020 13:00 MST,8.49,91.6,31.61,283.9,41.9,12.13,,WNW,,6.52
AMB,01/02/2020 14:00 MST,8.91,92.7,31.38,288.1,43.4,12.14,,WNW,,7.2
AMB,01/02/2020 15:00 MST,8.49,92.3,31.61,288.2,39.91,12.11,,WNW,,6.69
AMB,01/02/2020 16:00 MST,7.9,91.5,35.79,284.7,51.0,12.1,,WNW,,5.91
AMB,01/02/2020 17:00 MST,7.3,90.5,35.1,284.7,46.39,12.08,,WNW,,5.08
AMB,01/02/2020 18:00 MST,6.8,89.8,30.09,281.4,41.61,12.08,-0.99,WNW,,4.41
AMB,01/02/2020 19:00 MST,6.8,89.7,34.99,280.7,53.51,12.08,-1.44,W,,4.39
AMB,01/02/2020 20:00 MST,7.0,90.1,35.5,274.8,54.09,12.07,-1.19,W,,4.68
AMB,01/02/2020 21:00 MST,7.3,90.4,27.89,282.1,41.61,12.07,,WNW,,5.05
AMB,01/02/2020 22:00 MST,7.59,91.0,31.7,275.8,47.29,12.07,,W,,5.48
AMB,01/02/2020 23:00 MST,8.1,91.5,27.0,281.0,44.0,12.07,,W,,6.11
AMB,01/03/2020 00:00 MST,8.49,92.1,32.3,280.3,45.99,12.07,,W,,6.64
AMB,01/03/2020 01:00 MST,8.8,92.4,34.99,286.1,51.7,12.07,,WNW,,7.02
AMB,01/03/2020 02:00 MST,9.1,92.9,33.11,279.2,45.7,12.07,,W,,7.44
AMB,01/03/2020 03:00 MST,9.81,94.2,29.71,278.8,45.7,12.07,,W,,8.46
AMB,01/03/2020 04:00 MST,10.29,94.9,29.51,275.7,41.61,12.07,,W,,9.1
AMB,01/03/2020 05:00 MST,10.99,95.5,31.09,275.2,46.48,12.07,,W,,9.94
AMB,01/03/2020 06:00 MST,11.41,95.8,31.0,281.1,45.7,12.07,,W,,10.43
AMB,01/03/2020 07:00 MST,12.0,96.2,35.99,299.4,47.89,12.07,,WNW,,11.11
AMB,01/03/2020 08:00 MST,12.79,96.9,41.7,298.4,52.21,12.07,,WNW,,12.07
AMB,01/03/2020 09:00 MST,14.79,98.1,40.49,297.8,53.51,12.08,,WNW,,14.34
AMB,01/03/2020 10:00 MST,16.0,98.5,38.59,302.4,49.3,12.17,,WNW,,15.65
AMB,01/03/2020 11:00 MST,15.8,98.2,36.89,305.0,49.01,12.24,,NW,,15.38
AMB,01/03/2020 12:00 MST,15.8,98.3,37.4,303.7,52.99,12.15,,WNW,,15.4
AMB,01/03/2020 13:00 MST,16.3,98.7,32.91,302.6,44.9,12.19,,WNW,,15.99
AMB,01/03/2020 14:00 MST,16.5,98.9,27.81,303.9,40.6,12.15,,NW,,16.24
AMB,01/03/2020 15:00 MST,16.81,99.1,23.49,277.0,37.89,12.11,,W,,16.6
