# STATION: AMB
# STATION NAME: ALTA - MT BALDY
# LATITUDE: 40.5677
# LONGITUDE: -111.6374
# ELEVATION [ft]: 11066.0
# STATE: UT
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,volts,Fahrenheit,code,Fahrenheit,Fahrenheit
AMB,01/01/2010 00:00 MST,17.2,94.4,32.59,264.5,41.7,12.72,,W,,15.85
AMB,01/01/2010 01:00 MST,18.5,94.7,35.79,263.9,48.18,12.69,,W,,17.21
AMB,01/01/2010 02:00 MST,18.61,94.8,31.9,264.9,44.09,12.67,,W,,17.35
AMB,01/01/2010 03:00 MST,18.9,94.7,25.88,267.8,35.39,12.66,,W,,17.61
AMB,01/01/2010 04:00 MST,19.6,95.0,26.51,281.6,41.38,12.64,,WNW,,18.38
AMB,01/01/2010 05:00 MST,19.0,94.8,19.1,266.3,25.59,12.64,,W,,17.74
AMB,01/01/2010 06:00 MST,18.7,94.7,14.09,258.3,20.49,12.63,,WSW,,17.41
AMB,01/01/2010 07:00 MST,19.09,94.9,13.6,252.2,37.6,12.63,,WSW,,17.85
AMB,01/01/2010 08:00 MST,21.0,95.6,30.2,277.2,43.69,12.62,,W,,19.92
AMB,01/01/2010 09:00 MST,20.19,95.0,22.91,256.6,32.3,12.64,,WSW,,18.97
AMB,01/01/2010 10:00 MST,20.7,95.2,17.81,251.1,24.09,12.87,,WSW,,19.53
AMB,01/01/2010 11:00 MST,22.1,94.8,15.99,250.4,23.49,13.8,,WSW,,20.82
AMB,01/01/2010 12:00 MST,21.09,94.7,25.3,248.4,40.49,13.87,,WSW,,19.79
AMB,01/01/2010 13:00 MST,20.89,94.6,26.4,248.6,39.39,13.88,,WSW,,19.57
AMB,01/01/2010 14:00 MST,19.4,93.9,28.79,246.3,42.99,13.89,,WSW,,17.91
AMB,01/01/2010 15:00 MST,17.71,93.8,24.9,246.9,37.78,13.73,,WSW,,16.21
AMB,01/01/2010 16:00 MST,17.29,93.8,15.5,248.0,26.31,13.51,,WSW,,15.79
AMB,01/01/2010 17:00 MST,17.8,94.3,17.6,244.5,27.29,13.24,,WSW,,16.42
AMB,01/01/2010 18:00 MST,17.71,94.3,21.61,257.5,30.31,12.99,,WSW,,16.33
AMB,01/01/2010 19:00 MST,17.49,94.3,23.09,263.1,30.0,12.9,,W,,16.11
AMB,01/01/2010 20:00 MST,18.3,94.6,20.6,263.0,26.51,12.84,,W,,16.99
AMB,01/01/2010 21:00 MST,19.4,95.0,17.29,258.8,24.58,12.79,,W,,18.18
AMB,01/01/2010 22:00 MST,19.99,95.0,12.01,256.6,15.3,12.76,,WSW,,18.77
AMB,01/01/2010 23:00 MST,19.9,95.0,11.01,252.3,20.8,12.72,,WSW,,18.68
AMB,01/02/2010 00:00 MST,19.8,95.0,3.31,249.2,16.2,12.7,,WSW,,18.58
AMB,01/02/2010 01:00 MST,19.8,95.0,0.0,,0.0,12.68,,,,18.58
AMB,01/02/2010 02:00 MST,19.9,95.0,0.0,,0.0,12.67,,,,18.68
AMB,01/02/2010 03:00 MST,19.4,94.9,0.0,,0.0,12.65,,,,18.16
AMB,01/02/2010 04:00 MST,19.2,94.8,0.0,249.0,0.11,12.65,,WSW,,17.94
AMB,01/02/2010 05:00 MST,18.39,94.5,0.0,259.6,0.11,12.64,,W,,17.06
AMB,01/02/2010 06:00 MST,17.29,94.1,0.0,256.4,0.11,12.63,,WSW,,15.86
AMB,01/02/2010 07:00 MST,15.49,93.5,4.61,274.2,24.9,12.63,,W,,13.93
AMB,01/02/2010 08:00 MST,14.31,93.2,0.0,275.0,0.69,12.63,,W,,12.68
AMB,01/02/2010 09:00 MST,13.41,93.0,0.0,284.9,0.4,12.65,,WNW,,11.74
AMB,01/02/2010 10:00 MST,13.41,92.8,0.0,281.8,0.11,12.74,,WNW,,11.69
AMB,01/02/2010 11:00 MST,13.3,92.8,0.0,283.5,0.11,12.77,,WNW,,11.58
AMB,01/02/2010 12:00 MST,13.41,92.5,0.0,272.5,0.11,12.82,,W,,11.62
AMB,01/02/2010 13:00 MST,12.9,92.1,0.0,,0.0,12.84,,,,11.01
AMB,01/02/2010 14:00 MST,12.2,91.5,0.0,,0.0,13.24,,,,10.17
AMB,01/02/2010 15:00 MST,12.31,91.5,0.0,,0.0,13.75,,,,10.28
AMB,01/02/2010 16:00 MST,12.51,91.7,0.0,,0.0,13.78,,,,10.53
AMB,01/02/2010 17:00 MST,11.89,91.4,0.0,,0.0,13.62,,,,9.84
AMB,01/02/2010 18:00 MST,9.61,91.1,0.0,,0.0,13.1,,,,7.51
AMB,01/02/2010 19:00 MST,9.19,91.2,0.0,,0.0,12.89,,,,7.12
AMB,01/02/2010 20:00 MST,9.39,91.2,0.0,,0.0,12.79,,,,7.31
AMB,01/02/2010 21:00 MST,9.9,91.5,0.0,,0.0,12.73,,,,7.89
AMB,01/02/2010 22:00 MST,10.0,91.5,0.0,,0.0,12.68,,,,7.99
AMB,01/02/2010 23:00 MST,9.9,91.5,0.0,,0.0,12.65,,,,7.89
AMB,01/03/2010 00:00 MST,9.7,91.5,0.0,,0.0,12.63,,,,7.7
AMB,01/03/2010 01:00 MST,10.0,91.6,0.0,,0.0,12.62,,,,8.02
