# STATION: AMB
# STATION NAME: ALTA - MT BALDY
# LATITUDE: 40.5677
# LONGITUDE: -111.6374
# ELEVATION [ft]: 11066.0
# STATE: UT
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,volts,Fahrenheit,code,Fahrenheit,Fahrenheit
AMB,01/01/2013 00:00 MST,-1.41,78.6,19.1,308.9,24.29,12.47,-11.21,NW,,-6.5
AMB,01/01/2013 01:00 MST,-1.1,79.2,23.0,328.0,29.51,12.45,-11.47,NNW,,-6.04
AMB,01/01/2013 02:00 MST,0.81,80.2,24.29,358.0,37.69,12.44,-8.95,N,,-3.91
AMB,01/01/2013 03:00 MST,1.6,80.6,28.59,359.2,42.99,12.42,-8.4,N,,-3.03
AMB,01/01/2013 04:00 MST,1.71,80.7,30.71,358.9,47.29,12.4,-8.5,N,,-2.9
AMB,01/01/2013 05:00 MST,1.8,80.9,33.29,356.5,48.09,12.38,-8.66,N,,-2.76
AMB,01/01/2013 06:00 MST,2.61,81.2,33.6,356.3,48.09,12.36,-7.5,N,,-1.89
AMB,01/01/2013 07:00 MST,3.4,81.6,30.49,0.2,45.5,12.35,-6.0,N,,-1.01
AMB,01/01/2013 08:00 MST,3.6,81.5,29.51,355.2,44.58,12.33,-5.6,N,,-0.84
AMB,01/01/2013 09:00 MST,3.09,81.1,25.7,4.4,41.2,12.46,-5.87,N,,-1.45
AMB,01/01/2013 10:00 MST,3.31,80.8,24.58,357.5,39.59,13.06,-5.41,N,,-1.31
AMB,01/01/2013 11:00 MST,3.9,80.8,22.5,349.6,38.1,13.8,-4.28,N,,-0.74
AMB,01/01/2013 12:00 MST,4.21,80.8,23.49,1.8,37.69,13.8,-3.98,N,,-0.43
AMB,01/01/2013 13:00 MST,4.69,80.9,23.8,6.0,38.1,13.93,-3.33,N,,0.06
AMB,01/01/2013 14:00 MST,6.49,81.8,29.59,354.7,48.0,13.82,-1.39,N,,2.06
AMB,01/01/2013 15:00 MST,6.69,81.8,30.2,357.4,45.7,13.85,-1.16,N,,2.26
AMB,01/01/2013 16:00 MST,7.0,82.1,28.59,356.2,44.29,13.8,-0.55,N,,2.64
AMB,01/01/2013 17:00 MST,7.5,82.9,27.81,339.8,40.49,13.19,,NNW,,3.34
AMB,01/01/2013 18:00 MST,8.49,83.5,31.5,316.9,40.8,12.73,,NW,,4.47
AMB,01/01/2013 19:00 MST,8.6,81.9,33.91,307.7,42.79,12.61,,NW,,4.15
AMB,01/01/2013 20:00 MST,7.59,73.3,35.59,303.9,46.71,12.57,,NW,,0.75
AMB,01/01/2013 21:00 MST,6.01,76.4,33.69,303.9,44.58,12.54,-2.49,NW,,0.11
AMB,01/01/2013 22:00 MST,7.7,76.0,33.2,320.3,42.39,12.52,,NW,,1.64
AMB,01/01/2013 23:00 MST,8.91,77.0,31.99,321.8,40.6,12.5,,NW,,3.1
AMB,01/02/2013 00:00 MST,7.2,82.5,29.51,338.3,37.6,12.48,-0.35,NNW,,2.94
AMB,01/02/2013 01:00 MST,7.7,73.2,34.0,351.2,40.8,12.47,,N,,0.83
AMB,01/02/2013 02:00 MST,8.1,70.6,35.9,349.4,44.29,12.45,,N,,0.43
AMB,01/02/2013 03:00 MST,9.5,43.3,35.5,351.4,46.1,12.43,,N,,-8.52
AMB,01/02/2013 04:00 MST,10.9,23.4,33.69,345.5,42.99,12.42,,NNW,,-19.42
AMB,01/02/2013 05:00 MST,10.9,16.9,31.9,342.6,42.19,12.4,,NNW,,-25.49
AMB,01/02/2013 06:00 MST,10.0,18.6,29.91,344.2,40.69,12.38,,NNW,,-24.47
AMB,01/02/2013 07:00 MST,9.39,21.0,30.49,344.9,42.7,12.36,,NNW,,-22.73
AMB,01/02/2013 08:00 MST,9.39,20.9,32.59,346.3,42.79,12.38,,NNW,,-22.82
AMB,01/02/2013 09:00 MST,8.91,22.5,30.4,358.1,44.98,13.69,,N,,-21.85
AMB,01/02/2013 10:00 MST,9.19,19.9,30.4,0.9,41.79,13.82,,N,,-23.9
AMB,01/02/2013 11:00 MST,10.51,14.0,29.51,0.4,40.2,13.8,,N,,-29.2
AMB,01/02/2013 12:00 MST,10.99,13.5,29.8,359.2,40.0,13.79,,N,,-29.47
AMB,01/02/2013 13:00 MST,11.7,12.2,28.99,353.4,41.9,13.78,,N,,-30.69
AMB,01/02/2013 14:00 MST,10.6,13.8,30.0,352.9,42.9,13.78,,N,,-29.39
AMB,01/02/2013 15:00 MST,9.7,17.6,28.5,349.3,40.6,13.81,,N,,-25.73
AMB,01/02/2013 16:00 MST,9.0,17.4,31.99,356.9,44.9,13.81,,N,,-26.52
AMB,01/02/2013 17:00 MST,9.0,15.9,34.99,2.0,46.1,13.26,,N,,-28.15
AMB,01/02/2013 18:00 MST,7.39,15.6,32.3,4.8,43.11,12.76,,N,,-29.8
