# STATION: AMB
# STATION NAME: ALTA - MT BALDY
# LATITUDE: 40.5677
# LONGITUDE: -111.6374
# ELEVATION [ft]: 11066.0
# STATE: UT
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,volts,Fahrenheit,code,Fahrenheit,Fahrenheit
AMB,01/01/2015 00:00 MST,10.6,56.7,25.88,109.8,35.59,12.39,,ESE,,-1.88
AMB,01/01/2015 01:00 MST,10.9,61.2,27.0,110.8,36.8,12.37,,ESE,,0.03
AMB,01/01/2015 02:00 MST,10.99,63.4,25.7,110.0,39.8,12.35,,ESE,,0.87
AMB,01/01/2015 03:00 MST,11.1,66.2,22.79,114.0,37.29,12.34,,ESE,,1.91
AMB,01/01/2015 04:00 MST,11.5,68.3,19.48,106.9,28.1,12.32,,ESE,,2.98
AMB,01/01/2015 05:00 MST,12.2,66.4,19.3,105.4,28.9,12.3,,ESE,,3.03
AMB,01/01/2015 06:00 MST,12.51,61.8,17.9,80.8,23.69,12.28,,E,,1.76
AMB,01/01/2015 07:00 MST,13.1,56.6,14.09,68.8,19.39,12.27,,ENE,,0.42
AMB,01/01/2015 08:00 MST,13.89,55.6,10.6,36.3,14.0,12.27,,NE,,0.78
AMB,01/01/2015 09:00 MST,14.2,53.6,14.0,34.0,24.29,13.59,,NE,,0.28
AMB,01/01/2015 10:00 MST,14.5,46.0,15.79,51.4,27.69,13.67,,NE,,-2.69
AMB,01/01/2015 11:00 MST,15.3,30.0,17.81,42.2,27.69,13.64,,NE,,-10.77
AMB,01/01/2015 12:00 MST,16.0,24.8,13.6,51.2,25.39,13.61,,NE,,-13.94
AMB,01/01/2015 13:00 MST,14.11,34.2,11.9,26.9,29.1,13.58,,NNE,,-9.17
AMB,01/01/2015 14:00 MST,13.21,55.3,15.59,55.3,30.89,13.62,,NE,,0.03
AMB,01/01/2015 15:00 MST,13.8,65.5,16.8,53.2,29.59,13.5,,NE,,4.26
AMB,01/01/2015 16:00 MST,14.11,70.7,19.3,51.9,34.58,12.98,,NE,,6.24
AMB,01/01/2015 17:00 MST,12.09,81.6,17.81,53.3,29.51,12.72,,NE,,7.48
AMB,01/01/2015 18:00 MST,10.4,85.3,22.3,46.6,35.7,12.56,,NE,,6.82
AMB,01/01/2015 19:00 MST,12.31,76.9,22.59,45.5,38.7,12.51,,NE,,6.37
AMB,01/01/2015 20:00 MST,13.8,79.7,24.0,44.6,42.19,12.48,,NE,,8.62
AMB,01/01/2015 21:00 MST,14.5,84.3,28.79,64.2,45.9,12.46,,ENE,,10.57
AMB,01/01/2015 22:00 MST,14.11,83.4,22.59,78.3,32.99,12.44,,ENE,,9.95
AMB,01/01/2015 23:00 MST,13.69,83.4,17.4,90.9,24.58,12.42,,E,,9.54
AMB,01/02/2015 00:00 MST,14.79,80.8,17.69,72.9,25.59,12.4,,ENE,,9.9
AMB,01/02/2015 01:00 MST,15.1,86.0,21.39,75.4,32.5,12.39,,ENE,,11.62
AMB,01/02/2015 02:00 MST,15.21,87.6,17.2,45.1,31.61,12.37,,NE,,12.15
AMB,01/02/2015 03:00 MST,15.1,89.7,18.3,27.9,27.49,12.36,,NNE,,12.58
AMB,01/02/2015 04:00 MST,14.9,89.5,18.41,28.3,27.49,12.34,,NNE,,12.34
AMB,01/02/2015 05:00 MST,14.79,87.4,16.89,20.3,22.68,12.33,,NNE,,11.68
AMB,01/02/2015 06:00 MST,14.5,90.5,15.9,13.5,20.8,12.31,,NNE,,12.2
AMB,01/02/2015 07:00 MST,14.31,90.0,14.5,355.0,16.89,12.3,,N,,11.88
AMB,01/02/2015 08:00 MST,16.39,66.7,18.41,353.7,21.9,12.31,,N,,7.13
AMB,01/02/2015 09:00 MST,18.7,58.8,16.11,349.9,20.6,13.57,,N,,6.52
AMB,01/02/2015 10:00 MST,19.71,64.3,14.81,359.6,17.09,13.63,,N,,9.48
AMB,01/02/2015 11:00 MST,20.1,66.7,11.21,356.5,14.61,13.58,,N,,10.68
AMB,01/02/2015 12:00 MST,20.19,67.0,7.9,355.7,10.69,13.53,,N,,10.87
AMB,01/02/2015 13:00 MST,20.1,67.7,11.01,318.2,13.31,13.52,,NW,,11.02
AMB,01/02/2015 14:00 MST,20.5,65.2,13.2,308.9,18.9,13.53,,NW,,10.54
AMB,01/02/2015 15:00 MST,19.29,71.5,13.6,290.5,18.01,13.46,,WNW,,11.48
AMB,01/02/2015 16:00 MST,18.39,73.0,17.29,285.0,22.79,12.97,,WNW,,11.09
AMB,01/02/2015 17:00 MST,18.3,69.8,20.89,282.9,29.19,12.72,,WNW,,9.98
AMB,01/02/2015 18:00 MST,15.4,81.4,23.2,281.6,27.6,12.56,,WNW,,10.66
AMB,01/02/2015 19:00 MST,14.4,83.1,23.09,287.0,31.09,12.51,,WNW,,10.15
AMB,01/02/2015 20:00 MST,16.5,77.8,25.7,301.7,33.51,12.49,,WNW,,10.7
AMB,01/02/2015 21:00 MST,16.39,80.0,27.29,315.8,39.19,12.47,,NW,,11.23
AMB,01/02/2015 22:00 MST,17.6,79.7,32.59,327.6,45.9,12.45,,NNW,,12.32
